GRB,GRB_key,T90,z,T90_corr,z_status,z_source,z_raw,BAT_fluence,Time [UT],Trigger Number,Other Observatory Detections,z_method,z_uncertainty,z_ref,z_swift_raw,z_redshift_raw
101213A,101213A,135.0,0.414,95.47383309759547,accepted,redshift_list,0.414,50.0,10:49:23,440285,"Fermi (GBM), Konus-Wind, Suzaku",he,N/A,"""Chornock R. & Berger E. GCN Circ. 11544""",,0.414
250322A,250322A,0.62,0.42,0.4366197183098592,accepted,redshift_list,0.42,1.5,16:06:12,1297832,"AstroSat CZTI, Konus-Wind",he,N/A,Fong et al. GCN Circ. 39852 (Gemini-North); Yang et al. GCN Circ. 39859 (VLT/X-shooter),0.42 (Gemini-North: emission from likely host)|0.4215 (VLT: emission from likely host),0.42
190114C,190114C,361.5,0.42,254.5774647887324,accepted,redshift_list,0.42,830.0,20:57:03,883832,"MASTER-IAC, MASTER-SAAO, NOT (2.5m), OASDG (0.5m), MAGIC, MPG (2.2m), Fermi (GBM & LAT). GTC (10.4m), ESO-VLT UT2, AGILE/MCAL, INTEGRAL, Insight-HXMT/HE, McDonald Observatory, VLA @ 33.5 GHz, ALMA @ 90 GHz, REM (60cm), LSGT (0.42m), GROWTH-India (0.7m), KMTnet (1.6m), Konus-Wind, UKIRT, CHILESCOPE RC-1000, HCT (2m), ATCA @ 5.5, 9, 17 and 19 GHz, ePESSTO NTT, COATLI (50cm), RT-22 @ 36.8 GHz, HJT (1.5m), MeerKAT @ 1.3 GHz, GMRT @ 1.26 GHz, RTT150 (1.5m), HCT (2m)",ba,N/A,*Selsing et al. GCN Circ. 23695 (NOT); Castro-Tirado et al. GCN Circ. 23708 (GTC),0.42 (NOT: absorption)|0.4245 (GTC)|0.4250 (ESO-VLT UT2: absorption & emission),0.42
201015A,201015A,9.78,0.426,6.858345021037868,accepted,redshift_list,0.426,2.0,22:50:13,1000452,"MASTER-Tavrida, NOT, GOTO, BOOTES-1B (0.3m), GTC (10.4m), Nanshan/NEXT (0.6m), CrAO/ZTSH (2.6m), MAGIC, Fermi (GBM), FRAM-ORM (25cm), AZT-33IK, AZT-20, NUTTelA-TAO / BSTI, MMT (6.5m), Xinglong (2.16m), HCT (2.0m), VLA @ 6 GHz, SAO RAS (1m), Chandra, EVN @ 5GHz",be,N/A,de Ugarte Postigo et al. GCN Circ. 28649,0.426 (GTC: emission)|0.423 (NOT: absorption & emission),0.426
061006,061006,129.9,0.4377,90.35264658830076,accepted,redshift_list,0.4377,14.2,16:45:51,232585,"RHESSI, Konus-Wind, Suzaku, VLT",he,N/A,"""*Berger E. et al. ApJ 664 1000 (2007); D'Avanzo P. et al. A&A 498 711 (2009)""",,0.4377
100625A,100625A,0.33,0.452,0.2272727272727273,accepted,redshift_list,0.452,2.3,18:32:28,425647,"Konus-Wind, Fermi (GBM)",he,N/A,"""Fong W. et al. ApJ 769 56 (2013)""",,0.452
070724A,070724A,0.4,0.4571,0.27451787797680327,accepted,redshift_list,0.4571,0.3,10:53:50,285948,,he,N/A,"""Cucchiara A. et al. GCN Circ. 6665; Covino S. et al. GCN Circ. 6666; *Berger E. ApJ 690 231 (2009)""","0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)",0.4571
150120A,150120A,1.2,0.46,0.821917808219178,accepted,redshift_list,0.460,1.4,02:57:46,627137,Fermi (GBM),ba,N/A,"""Chornock et al. GCN Circ. 17358 (Gemini-N)""","0.460 (Gemini-North: emission, possible host)",0.460
130831A,130831A,32.5,0.4791,21.972821310256236,accepted,redshift_list,0.4791,65.0,13:04:16,568849,"Faulkes North (2m), Faulkes South (2m), Weihai (1m), MITSuME (50cm), Gemini-North, Konus-Wind, Xinglong (60cm), Skynet/PROMPT (17""), Montarrenti Observatory (0.53m), Virtual Telescope (0.43m), iTelescope (0.32m), Taurus Hill Observatory (0.35m), TUBITAK T100 (1.0m), HJT (1.5m), SANTEL-650 (0.65m), VT-50 (0.5m), AZT-8 (0.7m), SANTEL-400AN, AZT-22, RTT150, MASTER II",ba,N/A,"""Cucchiara A. & Perley D.A. GCN Circ. 15144""",0.4791 (Gemini-North: absorption),0.4791
051117B,051117B,9.0,0.481,6.076975016880486,accepted,redshift_list,0.481,1.77,13:22:54,164279,,he,N/A,"""Jakobsson P. et al. ApJ 752 62 (2012)""",0.481 (TOUGH: emission),0.481
160624A,160624A,0.2,0.483,0.13486176668914363,accepted,redshift_list,0.483,0.4,11:27:01,701288,Fermi (GBM),he,N/A,"""Cucchiara et al. GCN Circ. 19565 (Gemini North)""","0.483 (Gemini-North: emission, possible host)",0.483
230205A,230205A,2.3,0.484,1.549865229110512,accepted,redshift_list,0.484,1.6,10:29:51,1152764,VLA @ 6GHz,hp,0.090,Tomasella et al. GCN Circ. 33302,,0.484
091127,091127,7.1,0.49044,4.763693942728322,accepted,redshift_list,0.49044,90.0,23:25:45,377179,"Liverpool (2m), REM (60cm), ESO/MPI (2.2m), NOT, CAHA (1.23m), TAROT (25cm), Gemini-North, MASTER II, Fermi (GBM), Mt.Terskol (Z-600), Konus-Wind, PROMPT (16""), Suzaku, VLT, Zadko (1.0m), CTIO (1.3m), Gunma Astronomical Observatory (150cm)",he,N/A,"""Cucchiara A. et al. GCN Circ. 10202; Thoene C.C. et al. GCN Circ. 10233; *Vergani S.D. et al. A&A 535 A127 (2011)""",0.490 (Gemini-North: emission)|0.49034 (VLT: emission),0.49044
161108A,161108A,105.1,0.5,70.06666666666666,review_numeric,redshift_list,0.50(?),11.0,03:32:33,721234,"NOT, HJT (1.5m), TSHAO (1m)",he,+0.12 -0.12,Malesani et al. GCN Circ. 20146 (NOT; SDSS),1.159 (NOT: absorption & emission),0.50(?)
100508A,100508A,52.0,0.5201,34.20827577133083,accepted,redshift_list,0.5201,7.0,09:20:42,421386,MPI/ESO (2.2m),he,N/A,"""KrÃ¼hler et al. A&A 581 A125 (2015)""",,0.5201
081007,081007,10.0,0.5295,6.538084341288002,accepted,redshift_list,0.5295,7.1,05:23:52,330856,"REM (60cm), CTIO (1.3m), Faulkes North (2m), Gemini-South (8m), RAPTOR, PROMPT (16""), VLA @ 8.46 GHz, Fermi",ba,N/A,"""Berger E. et al. GCN Circ. 8335""",0.5295 (Gemini-South: absorption),0.5295
090618,090618,113.2,0.54,73.50649350649351,accepted,redshift_list,0.54,1050.0,08:28:29,355083,"Palomar (60""), KAIT, ROTSE-IIIb, Lick (3m), Observatorio Astrofisico Guillermo Haro (2.1m), Faulkes North, Mt. Lemmon (1.0m), AGILE , SARA (0.9m), Liverpool, AMI Large Array @ 14.6 to 17.5 GHz, VLA @ 8.46 GHz, Fermi GBM, OAUV (0.4m), WSRT @ 4.9 GHz, Shajn, BOAO (15.5cm), SAO RAS (6m), RTT150, Konus-Wind, PAIRITEL (1.3m), AGILE , Suzaku, SARA (0.9m), HCT (2m), Sayan Observatory (1.5m), CORONAS-PHOTON",ba,N/A,"""Cenko S.B. et al. GCN Circ. 9518; Fatkhullin T. et al. GCN Circ. 9542""",0.54 (Lick: absorption)|0.54 (SAO RAS: emission),0.54
100621A,100621A,63.6,0.542,41.24513618677043,accepted,redshift_list,0.542,210.0,03:03:32,425151,"MPI/ESO (2.2m), VLT, SAAO (1.4m), Konus-Wind",he,N/A,"""Milvang-Jensen B. et al. GCN Circ. 10876""",0.542 (VLT: emission),0.542
060729,060729,115.3,0.5428,74.73424941664506,accepted,redshift_list,0.5428,26.1,19:12:29,221755,"ROTSE-IIIa, VLT, Gemini South, CTIO (1.3m), XMM-Newton",ba,N/A,"""Thoene C.C. et al. GCN Circ. 5373; *Fynbo J.P.U. et al. ApJS 185 526 (2009)""","0.54 (VLT, Gemini South: absorption)",0.5428
