GRB_x,z,GRB_clean,GRB_y,Time [UT],Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],XRT RA (J2000),XRT Dec (J2000),XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],UVOT RA (J2000),UVOT Dec (J2000),UVOT Time to First Observation [sec],UVOT Magnitude,Other Observatory Detections,Redshift,Host Galaxy,Comments,References,T90,T90_corr
090424,0.544,090424,090424,14:12:09,350311,189.531,16.829,48,210,12:38:05.12,16:50:15.6,84.46,654,12:38:05.11,16:50:15.1,91,V=16.86,"ROTSE-IIIa, TNT, Fermi (GBM), Calar Alto (1.23m), Liverpool (2m), AAVSO (0.4m), TAOS (50cm), Gemini-South, ESO/MPI (2.2m), Taurus Hill Observatory (0.35m), Lulin (1m), WHT, Mt. Lemmon (1.0m), VLA @ 8.46 GHz, Suzaku, Sampurnanand (1.04m), Gao-Mei-Gu (2.4m), CTIO (1.3m), ICSP VLF, AZT-11",0.544 (Gemini-South: absorption)|0.544 (WHT),,,"BAT: GCN 9223; GCN 9231|XRT: GCN 9223; GCN 9232; GCN 9237; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 9223; GCN 9234|Radio: GCN 9260 (VLA)|Redshift: GCN 9243 (Gemini-South); GCN 9250 (WHT)|Other: GCN Report 221.1",48.0,31.088082901554404
090423,8.1,090423,090423,07:55:19,350184,148.891,18.165,10.3,5.9,09:55:33.26,18:08:57.9,72.48,,,,77,V>19.6,"UKIRT, Gemini-North, MPI/ESO (2.2m), TNG (3.6m), Okayama Astrophysical Observatory (188cm), Fermi (GBM), Plateau de Bure Interferometer, Spitzer",8.0 (MPI/ESO: photometric)|~8.1 (TNG),,UVOT: no detection,"BAT: GCN 9198; GCN 9204; GCN 9241|XRT: GCN 9198; GCN 9205; GCN 9212; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 9198; GCN 9210|Radio: GCB 9273 (Plateau de Bure)|Redshift: GCN 9215; GCN 9261 (MPI); GCN 9216 (TNG); GCN 9222 (TNG)|Other: GCN Report 211.1|GCN Report 211.2",10.3,1.131868131868132
090313,3.375,090313,090313,09:06:27,346386,198.4,8.086,79,14,13:13:36.25,08:05:50.2,,,,,27000,V=20.10,"KAIT, ESO/MPI (2.2m), Faulkes North (2m), OSN (1.5m), GRAS-04 (0.25m), Gemini-South, PAIRITEL, Zadko, TAROT (25cm), IAC80 (0.8m), MITSuME (50cm), AMI Large Array @ 14.5 to 17.5 GHz, CARMA @ 92.5 GHz, CTIO (1.3m), VLA @ 8.46 GHz, VLT, Melipal, WSRT @ 4.9 GHz, Bologna Observatory (1.52m)",3.375 (Gemini-South: absorption)|3.375 (VLT: absorption)|3.3721 (Melipal: absorption),,"Due to a Moon observing constraint, Swift cannot slew to the BAT position until 16:45 UT. There will thus be no prompt XRT or UVOT data for this trigger.","BAT: GCN 8980; GCN 8981; GCN 8986|XRT: GCN 8991; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8990; GCN 9006|Radio: GCN 9003; GCN 9017 (AMI Large Array); GCN 9005 (CARMA); GCN 9011 (VLA); GCN 9016 (WSRT)|Redshift: GCN 8994  (Gemini-South); GCN 9012 (VLT); GCN 9015 (Melipal)|Other: GCN Report 204.1",79.0,18.057142857142857
090205,4.6497,090205,090205,23:03:14,342121,220.917,-27.848,8.8,1.9,14:43:38.61,-27:51:10.4,87.61,,,,92,V>20.7,"VLT, ESO/MPI (2.2m), Zadko Telescope (1.0m)",4.7 (ESO/MPI: photometric)|4.6497 (VLT: absorption),,Declared a burst of interest.,"BAT: GCN 8884; GCN 8886|XRT: GCN 8884; GCN 8885; GCN 8891; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8884; GCN 8893|Redshift: GCN 8888 (ESO/MPI); GCN 8889; GCN 8892 (VLT)|Other: GCN Report 200.1",8.8,1.5576048285749686
090102,1.546,090102,090102,02:55:45,338895,128.248,33.107,27.0,0.68,08:32:58.56,33:06:51.0,387.21,60.9,08:32:58.54,33:06:51.2,395,V=17.02,"TAROT (25cm), REM (60cm), NOT, ESO/MPI (2.2m), IAC80, Palomar (60"" and 200""), Hobby-Eberly, Konus-Wind","1.547 (NOT)|1.546 (Palomar 200"": absorption)|1.55 (Hobby-Eberly: absorption)",R~24.5 (HST),Declared a burst of interest.,"BAT: GCN 8762; GCN 8769|XRT: GCN 8762; GCN 8765; GCN 8767; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8762; GCN 8770|Redshift: GCN 8766 (NOT); GCN 8773 (Palomar 200"")|Host: GCN 8856 (HST)|Other: GCN Report 192.1",27.0,10.604870384917517
081222,2.77,081222,081222,04:53:59,337914,22.748,-34.095,24,48,01:30:57.69,-34:05:43.0,51.75,391,01:30:57.59,-34:05:41.49,60,V=16.20,"REM (60cm), ESO/MPI (2.2m), Konus-Wind, Faulkes South, Gemini-South, Fermi, Gemini-North, MITSuME (50cm)",~2.7 (UVOT)|2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption),,,"BAT: GCN 8691; GCN 8709|XRT: GCN 8691; GCN 8705; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8691; GCN 8696; GCN 8712|Redshift: GCN 8712 (UVOT); GCN 8713 (Gemini-South); GCN 8718 (Gemini-North)|Other: GCN Report 190.1",24.0,6.36604774535809
081029,3.847,081029,081029,01:43:56,332931,346.776,-68.179,270,21,23:07:05.58,-68:09:20.2,2702.93,,23:07:05.35,-68:09:19.8,2708,V=18.66,"ROTSE-IIIc, ESO/MPI (2.2m), VLT, REM (60cm), Gemini-South, PROMPT (16""), CTIO (1.3m)","3.8479 (VLT: absorption, host)|3.847 (Gemini-South: absorption)",,"Due to an observing constraint, Swift will not slew until T0+41.3 minutes.","BAT: GCN 8435; GCN 8447|XRT: GCN 8443; GCN 8446; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8450|Redshift: GCN 8438 (VLT); GCN 8448 (Gemini-South)",270.0,55.70455952135342
081008,1.967,081008,081008,19:58:09,331093,279.968,-57.433,185.5,43,18:39:49.92,-57:25:54.7,87.15,150,18:39:49.877,-57:25:52.87,96,V=15.64,"ROTSE-IIIc, VLT, Gemini-South, CTIO (1.3m)",1.9685 (VLT: absorption)|1.967 (Gemini-South: absorption),R=20.75 (Gemini-South),,"BAT: GCN 8344; GCN 8351|XRT: GCN 8344; GCN 8347; GCN 8349; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8344; GCN 8348|Redshift: GCN 8345; GCN 8350 (VLT); GCN 8346 (Gemini-South)|Host: GCN 8372 (Gemini-South)|Other: GCN Report 173.1",185.5,62.52106504887091
080928,1.69,080928,080928,15:01:32,326115,95.061,-55.176,280,25,06:20:16.82,-55:11:58.8,169.70,577,06:20:16.836,-55:11:58.95,161,V=18.03,"ROTSE-IIIa, ESO/MPI (2.2m), Gemini-South, VLT, Watcher",1.692 (VLT: absorption)|1.69 (Gemini-South: absorption),,,"BAT: GCN 8292; GCN 8294; GCN 8297|XRT: GCN 8292; GCN 8295; GCN 8299; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8292; GCN 8298|Redshift: GCN 8301 (VLT); GCN 8304 (Gemini-South)",280.0,104.08921933085502
080913,6.7,080913,080913,06:46:54,324561,65.741,-25.127,8,5.6,04:22:54.71,-25:07:46.7,99.49,,,,105,V>20.08,"ESO/MPI (2.2m), VLT, Konus-Wind",6.44 (ESO/MPI: photometric)|6.7 (VLT),,UVOT: no detection,"BAT: GCN 8217; GCN 8222|XRT: GCN 8217; GCN 8219; GCN 8226; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8217; GCN 8224|Redshift: GCN 8223 (ESO/MPI); GCN 8225 (VLT)|Other: GCN Report 165.1",8.0,1.0389610389610389
080810,3.35,080810,080810,13:10:12,319584,356.783,0.31,106,46,23:47:10.54,00:19:11.2,76.00,426,23:47:10.26,00:19:11.3,65,V=14.06,"KANATA (1.5m), Keck, ROTSE-IIIa, RTT150, NOT, OSN (1.5m), Kanazawa (0.4m), Ondrejov (0.5m), Liverpool (2m), Zeiss-600, MITSuME, Faulkes North, GLAST, Konus-Wind, VLA @ 8.46 GHz, CrAO (AZT-8), La Silla (1.54m)",3.35 (Keck: absorption)|3.35 (RTT150: absorption)|3.35 (NOT: absorption),,,"BAT: GCN 8080; GCN 8082|XRT: GCN 8080; GCN 8086; GCN 8087; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8080; GCN 8095|Radio: GCN 8103 (VLA)|Redshift: GCN 8083 (Keck); GCN 8088 (RTT150); GCN 8089 (NOT)|Other: GCN Report 157.1|GCN Report 157.2",106.0,24.367816091954026
080804,2.2,080804,080804,23:20:14,319016,328.675,-53.189,34,36,21:54:40.11,-53:11:05.3,99.04,55,21:54:40.2,-53:11:04.6,91,V=17.17,"ROTSE-IIIc, VLT, Faulkes South, Gemini-South, ESO/MPI (2.2m)",2.2045 (VLT: absorption)|2.20 (Gemini-South: absorption),,,"BAT: GCN 8057; GCN 8067|XRT: GCN 8057; GCN 8066; GCN 8070; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 8057; GCN 8069|Redshift: GCN 8058 (VLT); GCN 8065 (Gemini-South)|Other: GCN Report 158.1",34.0,10.625
080721,2.591,080721,080721,10:25:16,317508,224.481,-11.709,16.2,120,14:57:55.85,-11:43:24.9,108.03,50,14:57:55.855,-11:43:24.54,118,V=14.98,"Lulin (1m), Konus-Wind, TNG, NOT",2.602 (TNG: absorption)|2.591 (NOT: absorption),,,"BAT: GCN 7988; GCN 7992|XRT: GCN 7988; GCN 7989; GCN 7993; GCN 7994; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7988; GCN 7991; GCN 7996|Redshift: GCN 7997 (TNG); GCN 7998 (NOT)|Other: GCN Report 156.1",16.2,4.511278195488721
080603B,2.69,080603B,080603B,19:38:13,313087,176.554,68.061,60,24,11:46:07.62,68:03:39.5,61.77,1210,11:46:07.66,68:03:39.99,63,V=16.48,"ROTSE-IIId, Super-LOTIS (0.6m), TAROT (25cm), BOOTES-2/TELMA (60cm), NOT, RTT150, Konus-Wind, Liverpool, Xinglong EST, Hobby-Eberly, TLS (1.34m), PAIRITEL (1.3m), Sayan (1.5m), AZT-11 (Nauchny), AZT-22 (Maidanak)",2.69 (NOT)|2.69 (Hobby-Eberly: absorption),,,"BAT: GCN 7794; GCN 7806|XRT: GCN 7794; GCN 7811; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7794; GCN 7808|Redshift: GCN 7797 (NOT); GCN 7815 (Hobby-Eberly)|Other: GCN Report 144.1",60.0,16.260162601626018
080430,0.767,080430,080430,19:53:02,310613,165.331,51.682,16.2,12,11:01:14.73,51:41:07.8,48.87,126,11:01:14.66,51:41:08.4,164,V=17.64,"TAROT, BOOTES-1 (0.3m), Calar Alto (2.2m), AsU CAS Ondrejov (0.5m), Nicholas Copernicus Observatory (0.4m), Hobby-Eberly, Zeiss-600 (Mt.Terskol), AAVSO, NOT (2.5m), RTT150, OSN (1.5m), NainiTal (1.04m), Observatoire Chante-Perdix (0.5m), TLS, Vallauris (0.28m), Bologna Observatory (152cm)","~0.75 (Calar Alto: absorption, probable)|0.767 (Hobby-Eberly: absorption)",,,"BAT: GCN 7647; GCN 7656|XRT: GCN 7647; GCN 7652; GCN 7653; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7647; GCN 7660|Redshift: GCN 7650 (Calar Alto); GCN 7654 (Hobby-Eberly)|Other: GCN Report 139.1",16.2,9.168081494057725
080413B,1.1,080413B,080413B,08:51:12,309111,326.138,-19.981,8.0,32,21:44:34.59,-19:58:51.7,131.25,,21:44:34.65,-19:58:52.40,135,V=17.64,"ESO/MPI (2.2m), REM (60cm), VLT, Gemini-South, Suzaku, Faulkes South (2m), PROMPT (16"")",1.10 (VLT: absorption)|1.10 (Gemini-South: absorption),,,"BAT: GCN 7598; GCN 7606; GCN 7610|XRT: GCN 7598; GCN 7608; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7598; GCN 7611|Redshift: GCN 7601 (VLT); GCN 7615 (Gemini-South)",8.0,3.8095238095238093
080413A,2.43,080413A,080413A,02:54:19,309096,287.301,-27.677,46,35,19:09:11.69,-27:40:40.0,60.67,366,19:09:11.76,-27:40:40.27,76,V=15.08,"ROTSE-IIIc, TAROT (25cm), REM (60cm), VLT, BOOTES-1 (0.3m), CTIO (1.3m), Gemini-South, Mt. John Observatory (1.8m), Suzaku",2.433 (VLT: absorption)|2.43 (Gemini-South: absorption),,"BAT: GCN 7630, joint Suzaku/WAM and Swift/BAT spectral fit, numbers not reflected in the table.","BAT: GCN 7594; GCN 7604; GCN 7630|XRT: GCN 7594; GCN 7596; GCN 7605; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7594; GCN 7607|Redshift: GCN 7602 (VLT); GCN 7616 (Gemini-South)|Other: GCN Report 129.1",46.0,13.411078717201166
080330,1.51,080330,080330,03:41:16,308041,169.278,30.607,61,3.4,,,70.54,203,11:17:04.51,30:37:22.1,63,V=18.5,"TAROT, ROTSE-IIIb, Liverpool (2m), PAIRITEL, NOT, ESO/MPI (2.2m), Mt. Lemmon (1.0m), Hobby-Eberly, TNT, CTIO (1.3m), REM (60cm), Mt.Terskol (Zeiss-2m), SAO RAS (1m), PROMPT (16""), RAPTOR, AAVSO",1.51 (NOT: absorption)|1.51 (Hobby-Eberly: absorption),,BAT: burst can be classified as an X-ray flash,"BAT: GCN 7537; GCN 7549|XRT: GCN 7537; GCN 7541; GCN 7555; GCN 7561; GCN 7583; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7537; GCN 7552|Redshift: GCN 7544 (NOT); GCN 7547 (Hobby-Eberly)|Other: GCN Report 132.1",61.0,24.302788844621517
080310,2.42,080310,080310,08:37:58,305288,220.04,-0.164,365,23,14:40:13.83,-00:10:30.7,89.21,150,14:40:13.80,-00:10:29.6,100,V=17.38,"KAIT, Magellan/Clay (6.5m), CTIO (1.3m), REM (60cm), Super-LOTIS (0.6m), Lick, LBT, VLT-Kueyen, VLT-Antu, Lulin, Keck, RAPTOR, PAIRITEL, MITSuME (50cm), ROTSE-III, Mt. Lemmon (1m), Lulin (1m), GAO 150cm, MDM (2.4m)",2.4266 (Lick: absorption)|2.42 (Magellan: absorption)|2.43 (VLT-Kueyen: absorption)|2.4266 (Keck: absorption),,,"BAT: GCN 7382; GCN 7402|XRT: GCN 7382; GCN 7394; GCN 7399; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7382; GCN 7398|Redshift: GCN 7388 (Lick); GCN 7389 (Magellan); GCN 7391 (VLT-Kueyen); GCN 7397 (Keck)",365.0,106.72514619883042
080210,2.64,080210,080210,07:50:05,302888,251.259,13.826,45,18,16:45:04.01,13:49:36.2,157.12,,16:45:04.01,13:49:35.9,160,V=17.6,"TAROT (25cm), MPI/ESO(2.2m), PROMPT (16""), VLT, Super-LOTIS (0.6m), Hobby-Eberly Telescope, Keck I, Sayan (1.5m)",2.641 (VLT: absorption)|2.64 (Hobby-Eberly: absorption),,,"BAT: GCN 7281; GCN 7289|XRT: GCN 7281; GCN 7285; GCN 7287; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7281; GCN 7292|Redshift: GCN 7286 (VLT); GCN 7290 (Hobby-Eberly)|Other: GCN Report 114.1",45.0,12.362637362637361
071227,0.384,071227,071227,20:13:47,299787,58.132,-55.959,1.8,2.2,03:52:31.20,-55:59:03.1,79.09,95.9,03:52:31.102,-55:59:00.65,86,V>20.46,"Konus-Wind, VLT, Suzaku","0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)","Possible Host: edge-on spiral, R=19.3",UVOT: OT candidate from coadded images.,"BAT: GCN 7147; GCN 7148; GCN 7156|XRT: GCN 7147; GCN 7153; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7147; GCN 7150|Redshift: GCN 7152 (VLT); GCN 7154 (Magellan)|Host: GCN 7151 (Magellan)",1.8,1.300578034682081
071112C,0.823,071112C,071112C,18:32:57,296504,39.218,28.368,15,30,02:36:50.97,28:22:16.7,83.60,125,02:36:50.93,28:22:16.7,92,V=17.9,"ROTSE-IIIc, KANATA (1.5m), TNT (0.8m), EST (1.0m), TAROT (25cm), RTT150, Lulin (1m), NOT, VLT, Crni Vrh (60cm), MITSuME (50cm), Gemini North, Cassini (152cm), AAVSO, MAGNUM, TAOS",0.8230 (VLT: absorption)|0.823 (Gemini North: absorption),,,"BAT: GCN 7059; GCN 7081|XRT: GCN 7059; GCN 7079; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 7059; GCN 7080|Redshift: GCN 7076; GCN 7088 (VLT); GCN 7086 (Gemini North)|Other: GCN Report 104.1|GCN Report 104.2",15.0,8.228195282501371
071020,2.142,071020,071020,07:02:26,294835,119.666,32.857,4.2,23,,,61.24,179,,,,,"ROTSE-IIIb, VLT, PAIRITEL (1.3m), TNT (0.8m), Mt. Lemmon (1.0m), Konus-Wind, VLA @ 8.46 GHz, SARA (0.9m), Taurus Hill Observatory (0.3m), BTA (6.0m), MITSuME (50cm), CrAO (AZT-8)",>2.145 (VLT: absorption)|2.142 (BTA: absorption),,"UVOT: no data products for this burst, because it is still in engineering mode.","BAT: GCN 6949; GCN 6954|XRT: GCN 6949; GCN 6955; Evans et al., 2009, MNRAS, 397, 1177|Radio: GCN 6978 (VLA)|Redshift: GCN 6952 (VLT); GCN 6984 (BTA)|Other: GCN Report 94.1|GCN Report 94.2",4.2,1.3367281985996182
071003,0.937,071003,071003,07:40:55,292934,301.857,10.954,150,83,,,,,,,,,"KAIT (0.76m), Palomar (60""), Sampurnanand (1.04m),  AEOS, Keck I, Faulkes North (2m), Konus-Wind, VLT, VLA @ 8.46 GHz, Keck II",1.100 (Keck I: absorption)|>0.937 (VLT: absorption),,"Swift is in the process of returning to normal operations, automatic slewing to GRBs is currently disabled outside of business hours (US EDT).  Therefore, there are no prompt XRT or UVOT observations of this burst","BAT: GCN 6837; GCN 6842|XRT: GCN 6845; GCN 6855; Evans et al., 2009, MNRAS, 397, 1177|Radio: GCN 6853 (VLA)|Redshift: GCN 6850 (Keck I); GCN 6851 (VLT)|Other: GCN Report 87.1|GCN Report 87.2",150.0,77.43933918430562
070724A,0.457,070724A,070724A,10:53:50,285948,27.824,-18.61,0.4,0.3,01:51:14.05,-18:35:39.9,66.76,64.4,,,58,V>19.5,,"0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)","proposed host from DSS also detected with UKIRT, Palomar 60"", Gemini South, & VLT",UVOT: no detection,"BAT: GCN 6654; GCN 6656|XRT: GCN 6654; GCN 6659; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 6654; GCN 6660|Redshift: GCN 6665 (Gemini South); GCN 6666 (VLT)|Host: GCN 6658 (DSS); GCN 6662 (UKIRT); GCN 6664 (Palomar); GCN 6665 (Gemini South); GCN 6666 (VLT)|Other: GCN Report 74.1|GCN Report 74.2",0.4,0.27453671928620454
070429B,2.0,070429B,070429B,03:09:04,277582,328.006,-38.857,0.470,0.63,21:52:03.81,-38:49:42.0,256.26,0.699,21:52:03.68,-38:49:43.6,230,V=19.3,,0.904 (Keck I: from probable host),"r=23.18, possible host (Gemini South)|2 host candidates (VLT)|g=24.79,R=23.24, probable host (Keck I)",165 sec slew delay (Earth-limb constraint)|UVOT: possible detection,"BAT: GCN 6358; GCN 6365; arXiv:0707.4626|XRT: GCN 6358; GCN 6360; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 6358; GCN 6366; GCN 7145|Redshift: GCN 7140 (Keck I)|Host: GCN 6368; GCN 6370 (Gemini South); GCN 6372 (VLT); GCN 7140 (Keck I)|Other: GCN Report 51.1",0.47,0.15666666666666665
070318,0.84,070318,070318,07:28:56,271019,48.486,-42.95,74.600,24.80,03:13:56.77,-42:56:47.3,63.58,261,03:13:56.83,-42:56:46.3,180,V=15.43,"VLT, Gemini South, Magellan Baade, CTIO (1.3m)",0.836 (VLT: absorption)|0.840 (Gemini/Magellan: absorption),,UVOT: flattening of the lightcurve (not due to host galaxy),"BAT: GCN 6210; GCN 6212; arXiv:0707.4626|XRT: GCN 6210; GCN 6214; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 6210; GCN 6213; GCN 6215; GCN 6220|Redshift: GCN 6216 (VLT); GCN 6217 (Gemini/Magellan)|Other: GCN Report 40.1|GCN Report 40.2",74.6,40.54347826086956
070306,1.497,070306,070306,16:41:28,263361,148.154,10.44,209.500,53.80,09:52:23.29,10:28:55.5,153.20,1280,,,146,V>20.5,"WHT (4.2m), NOT, VLT",possible redshift:|1.497 (VLT: emission),,UVOT: no detection,"BAT: GCN 6169; GCN 6173; arXiv:0707.4626|XRT: GCN 6169; GCN 6172; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 6169; GCN 6177|Redshift: GCN 6202 (VLT)|Other: GCN Report 38.1|GCN Report 38.2",209.5,83.90068081698038
061007,1.262,061007,061007,10:08:09,232683,46.299,-50.496,75.300,444.00,03:05:19.60,-50:30:02.4,80.45,3360,03:05:19.6,-50:30:02.4,80,V=12.84,"ROTSE-IIIa, Faulkes South (2m), Magellan Clay, VLT, Konus-Wind, Suzaku, RHESSI",1.261 (Magellan Clay: absorption)|1.262 (VLT: absorption),,,"BAT: GCN 5707; GCN 5713; arXiv:0707.4626|XRT: GCN 5707; GCN 5712; GCN 5714; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 5707; GCN 5719|Redshift: GCN 5715 (Magellan Clay); GCN 5716 (VLT)|Other: GCN Report 7.1",75.3,33.289124668435015
060912A,0.937,060912A,060912A,13:55:54,229185,5.285,20.971,5.000,13.50,00:21:08.13,20:58:18.5,108.88,10,00:21:08.16,20:58:17.8,113,V=17.4,"TNT (0.8m), Skinakas (1.3m), Maidanak (1.5m), Konus-Wind, MAGIC, VLT",probably host redshift:|0.937 (VLT: emission),probable host (VLT),,"BAT: GCN 5558; GCN 5561; arXiv:0707.4626|XRT: GCN 5558; GCN 5562; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 5558; GCN 5565|Redshift: GCN 5617 (VLT)|Host: GCN 5573 (VLT)",5.0,2.5813113061435207
060614,0.125,060614,060614,12:43:49,214805,320.877,-53.027,108.700,204.00,21:23:32.12,-53:01:36.6,91.40,6000,21:23:32.08,-53:01:36.2,101,V=19.54,"Watcher (0.4m), Siding Spring Observatory (1m), CTIO (1.3m), VLT-UT1, Konus-Wind, VLT-UT2, La Silla (Danish 1.54m), Gemini South",0.13 (Gemini: emission)|0.125 (VLT: emission),R-band (Danish 1.54m)|I = 21.9 (SMARTS),"UVOT: possible, late-time rebrightening","BAT: GCN 5252; GCN 5256; GCN 5262; arXiv:0707.4626|XRT: GCN 5252; GCN 5254; GCN 5262; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 5252; GCN 5255; GCN 5262; GCN 5281; GCN 5286|Redshift: GCN 5275 (Gemini); GCN 5276 (VLT)|Host: GCN 5277 (Danish 1.54m); GCN 5282 (SMARTS)",108.7,96.62222222222222
060605,3.7,060605,060605,18:15:45,213630,322.128,-6.071,79.100,6.97,21:28:37.31,-06:03:30.7,92.39,0.999,21:28:37.32,-06:03:31.3,97,V=16.53,"ROTSE-III, ANU (2.3m), RTT150, TNG (3.6m), SALT (10m), TNT (0.8m), VATT, NOT, Calar Alto (3.5m)",3.8 (ANU: absorption)|3.7 (SALT: absorption)|3.78 (Calar Alto),,,"BAT: GCN 5221; GCN 5231; arXiv:0707.4626|XRT: GCN 5221; GCN 5227; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 5221; GCN 5228|Redshift: GCN 5223 (ANU); GCN 5226 (SALT); GCN 5489 (Calar Alto); GCN 6166 (Calar Alto)|Host: GCN 5489 (Calar Alto)",79.1,16.829787234042552
060418,1.489,060418,060418,03:06:08,205851,236.431,-3.64,103.100,83.30,15:45:42.64,-03:38:20.4,77.97,1600,15:45:42.60,-03:38:20.0,88,V=14.99,"REM (60cm), Liverpool (2m), Magellan, SMARTS (1.3m), PROMPT, VLT, FRAM, AAVSO, PAIRITEL (1.3m), Lulin (1m), CFHT/WIRCam, Konus-Wind, Maidanak (1.5m)",1.490 (Magellan: absorption)|1.489 (VLT: absorption),,,"BAT: GCN 4966; GCN 4975; arXiv:0707.4626|XRT: GCN 4966; GCN 4973; GCN 5009; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 4966; GCN 4978|Redshift: GCN 4969; GCN 5002 (Magellan); GCN 4974 (VLT)",103.1,41.42225793491362
060206,4.048,060206,060206,04:46:53,180455,202.933,35.046,7.600,8.31,13:31:43.45,35:03:03.2,58.35,,13:31:43.42,35:03:03.6,57,V=18.8,"NOT, RAPTOR, SARA, KAIT, Palomar (60""), Liverpool (2m), Lulin (0.4m & 1.0m), Super-LOTIS (0.6m), Lick (3m), PAIRITEL, Subaru (8.2m), Asiago, PROMPT, Loiano (1.52m), SOAR (4.1m), Maidanak (1.5m)",4.045 (NOT: absorption)|4.048 (Lick: absorption)|4.05 (Subaru: absorption),,,"BAT: GCN 4682; GCN 4697; arXiv:0707.4626|XRT: GCN 4682; GCN 4689; GCN 4694; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 4682; GCN 4684; GCN 4722|Redshift: GCN 4686 (NOT); GCN 4692 (NOT); GCN 4701 (Lick); GCN 4703 (Subaru)",7.6,1.5055467511885894
060123,20028.0,060123,060123,22:22:40,Ground Analysis|20028,179.75,45.513,900,3.0,11:58:47.95,45:30:49.6,,,,,75094,V>20.0,Gemini,"1.099 (probable, Gemini: emission)",,"very long, faint burst|BAT: no trigger","BAT: GCN 4584; GCN 4608|XRT: GCN 4584; GCN 4600; GCN 4608; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 4584|Redshift: GCN 4622 (Gemini)",900.0,0.04493484447551051
050922C,2.198,050922C,050922C,19:55:50,156467,317.383,-8.764,4.500,16.20,21:09:33.08,-08:45:30.2,,,21:09:33.0,-08:45:30.1,111,V=14.60,"ROTSE-III, NOT, Terskol (60 cm), Wise (1m), HETE, Cordell-Lorenz Observatory, MonteBoo, N. Copernicus (40 cm), Konus-Wind, TNG, VLT",2.198 (NOT: absorption)|2.198 (TNG: absorption)|2.199 (VLT: absorption),,,"BAT: GCN 4013; GCN 4020; TS table 9/24/05; arXiv:0707.4626|XRT: GCN 4013; GCN 4022; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 4013; GCN 4041|Redshift: GCN 4017; GCN 4029 (NOT); GCN 4032 (TNG); GCN 4044 (VLT)",4.5,1.4071294559099436
050908,3.3437,050908,050908,05:42:31,154112,20.457,-12.95,19.400,4.83,01:21:50.70,-12:57:18.0,,,,,105,V=19.3,"New Mexico Sky Observatory, Palomar (60""), KAIT (Lick), PROMPT, VLT, GMOS, AAVSO, WIRO, Keck, Maidanak",3.350 (VLT: absorption)|3.3437 (GMOS: absorption)|3.3440 (Keck: absorption),,,"BAT: GCN 3942; GCN 3951; TS table 9/13/05, 9/24/05; arXiv:0707.4626|XRT: GCN 3942; GCN 3946; GCN 3952; Evans et al., 2009, MNRAS, 397, 1177|UVOT: GCN 3942; GCN 3954; GCN 3960|Redshift: GCN 3948 (VLT); GCN 3949 (GMOS); GCN 3971 (Keck)",19.4,4.466238460298823
